
✅影视精选,#genre#
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
经典功夫台,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
CHC动作电影,http://live.cooltv.top/tv/aishang.php?id=chcdzdy
CHC动作电影,http://125.40.191.58:9901/tsfile/live/1002_1.m3u8#http://59.49.41.44/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1#http://117.148.179.157/PLTV/88888888/224/3221231580/index.m3u8#http://117.148.179.157/PLTV/88888888/224/3221232945/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226465/index.m3u8#http://117.148.179.138/PLTV/88888888/224/3221231580/index.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226465/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1
CHC家庭影院,http://live.cooltv.top/tv/aishang.php?id=chcjtyy
CHC高清电影,http://live.cooltv.top/tv/aishang.php?id=chcgqdy
CHC家庭影院,http://125.40.191.58:9901/tsfile/live/1001_1.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226462/index.m3u8#http://117.148.179.157/PLTV/88888888/224/3221232942/index.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226462/index.m3u8#http://gxfrg007.8800.org:8282/tsfile/live/1096_1.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240323_1/playlist.m3u8?CONTENTID=00000110240323_1#http://117.148.179.151/PLTV/88888888/224/3221231799/index.m3u8
CHC高清电影,http://gxfrg007.8800.org:8282/tsfile/live/1097_1.m3u8#http://59.49.41.44/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1
有线新闻台,http://38.60.38.190:2023/dl/1.php?id=3
凤凰资讯,http://38.60.38.190:2023/dl/1.php?id=1
财经资讯台,http://38.60.38.190:2023/dl/1.php?id=4
凤凰香港,http://38.60.38.190:2023/dl/1.php?id=2
有线体育台,http://38.60.38.190:2023/dl/1.php?id=6
18台,http://38.60.38.190:2023/dl/1.php?id=5
高清603,http://38.60.38.190:2023/dl/1.php?id=8
无线新闻台,http://38.60.38.190:2023/dl/1.php?id=10
翡翠台,http://38.60.38.190:2023/dl/1.php?id=12
明珠台,http://38.60.38.190:2023/dl/1.php?id=13
J2,http://38.60.38.190:2023/dl/1.php?id=14
NOW新闻,http://38.60.38.190:2023/dl/1.php?id=17
HOYTV,http://38.60.38.190:2023/dl/1.php?id=21
RHK31,http://38.60.38.190:2023/dl/1.php?id=22
中天新闻,http://38.60.38.190:2023/dl/1.php?id=24
RHK32,http://38.60.38.190:2023/dl/1.php?id=23
东森LIVE,http://38.60.38.190:2023/dl/1.php?id=25
寰宇新闻,http://38.60.38.190:2023/dl/1.php?id=28
台视新闻,http://38.60.38.190:2023/dl/1.php?id=30
中视新闻,http://38.60.38.190:2023/dl/1.php?id=31
华视新闻,http://38.60.38.190:2023/dl/1.php?id=32
三立LIVE,http://38.60.38.190:2023/dl/1.php?id=34
民视新闻台,http://38.60.38.190:2023/dl/1.php?id=37
台视,http://38.60.38.190:2023/dl/1.php?id=42
民视,http://38.60.38.190:2023/dl/1.php?id=41
中视,http://38.60.38.190:2023/dl/1.php?id=43
华视,http://38.60.38.190:2023/dl/1.php?id=44
TVBS HD,http://38.60.38.190:2023/dl/1.php?id=46
TVBS欢乐,http://38.60.38.190:2023/dl/1.php?id=47
纬来体育,http://38.60.38.190:2023/dl/1.php?id=54
ELEVEN1,http://38.60.38.190:2023/dl/1.php?id=57
