📡央视超清,#genre#
CCTV1综合,http://61.153.215.190:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2财经,http://61.153.215.190:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3综艺,http://61.153.215.190:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4国际,http://61.153.215.190:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5体育,http://61.153.215.190:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV6电影,http://61.153.215.190:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7军农,http://61.153.215.190:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8电视剧,http://61.153.215.190:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9纪录,http://61.153.215.190:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10科教,http://61.153.215.190:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11戏曲,http://61.153.215.190:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12社会与法,http://61.153.215.190:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13新闻,http://61.153.215.190:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14少儿,http://61.153.215.190:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15音乐,http://61.153.215.190:9901/tsfile/live/0015_1.m3u8?key=txiptv





CCTV1,http://106.115.24.12:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&down=1
CCTV2,http://106.115.24.12:9901/tsfile/live/faacts/1001_1.m3u8?key=txiptv&playlive=1&down=1
CCTV3,http://121.19.134.2:808/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://118.212.69.221:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://106.115.24.254:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&down=1
CCTV6,http://106.115.27.62:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&down=1
CCTV7,http://106.115.26.182:9901/tsfile/live/faacts/0007_1.m3u8?key=txiptv&playlive=1&down=1
CCTV8,http://121.19.134.2:808/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://106.115.27.9:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&down=1
CCTV10,http://106.115.24.238:9901/tsfile/live/faacts/0010_1.m3u8?key=txiptv&playlive=1&down=1
CCTV11,http://106.115.27.62:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&down=1
CCTV12,http://218.2.110.186:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://121.19.134.2:808/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://222.217.243.197:8181/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://121.19.134.2:808/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://121.19.134.2:808/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://121.19.134.2:808/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
怀旧剧场,http://121.19.134.2:808/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0





CCTV4,http://118.212.69.221:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV风云足球,http://121.19.134.2:808/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://222.217.243.197:8181/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://218.2.110.186:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV第一剧场,http://121.19.134.2:808/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
