［港澳台］,#genre#
凤凰中文,http://180.97.247.27/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52003/index.m3u8
凤凰资讯,http://180.97.247.27/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52002/index.m3u8
凤凰中文,http://php.17186.eu.org/phtv/fhzw.m3u8
凤凰资讯,http://php.17186.eu.org/phtv/fhzx.m3u8
凤凰香港,http://php.17186.eu.org/phtv/fhhk.m3u8
凤凰卫视,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52003/index.m3u8
凤凰卫视,http://111.20.40.166:80/PLTV/88888893/224/3221226547/index.m3u8
凤凰卫视,http://125.74.6.39/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226308/index.m3u8
凤凰资讯,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52002/index.m3u8
凤凰资讯,http://111.20.40.166:80/PLTV/88888893/224/3221226546/index.m3u8
凤凰资讯,http://125.74.6.39/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226320/index.m3u8
凤凰卫视,http://49.235.110.121:9090/daili/翡翠.php?id=27
凤凰资讯,http://49.235.110.121:9090/daili/翡翠.php?id=28
凤凰香港,http://php.17186.eu.org:80/phtv/fhhk.m3u8
凤凰香港,http://49.235.110.121:9090/daili/翡翠.php?id=29
翡翠台,http://49.235.110.121:9090/daili/翡翠.php?id=1
明珠台,http://49.235.110.121:9090/daili/翡翠.php?id=2
星河频道,http://49.235.110.121:9090/daili/翡翠.php?id=3
龙翔电影,http://49.235.110.121:9090/daili/翡翠.php?id=4
星空卫视,http://49.235.110.121:9090/daili/翡翠.php?id=5
澳亚卫视,http://49.235.110.121:9090/daili/翡翠.php?id=6
Channel [V],http://49.235.110.121:9090/daili/翡翠.php?id=13
翡翠台,http://49.235.110.121:9090/daili/翡翠.php?id=17
明珠台,http://49.235.110.121:9090/daili/翡翠.php?id=18
星空卫视,http://49.235.110.121:9090/daili/翡翠.php?id=19
Channel [V],http://49.235.110.121:9090/daili/翡翠.php?id=20
星空卫视,http://49.235.110.121:9090/daili/翡翠.php?id=30
中国电影,http://49.235.110.121:9090/daili/翡翠.php?id=31
天映频道,http://49.235.110.121:9090/daili/翡翠.php?id=32
东森洋片,http://49.235.110.121:9090/daili/翡翠.php?id=33
Channel [V],http://49.235.110.121:9090/daili/翡翠.php?id=39
